method,idx,n_ch,implemented,eq1_full,eq1_mod,concentration
standard,1063,9,0.788732,0.3333333333333333,0.5555555555555556,0.8407459
standard,1063,10,0.8166211,0.3,0.5,0.84534365
standard,950,7,0.72324157,0.7142857142857143,0.7142857142857143,0.83302975
standard,950,9,0.64453137,0.4444444444444444,0.4444444444444444,0.6834579
standard,950,10,0.818613,0.5,0.5,0.83984774
standard,978,9,0.54973423,0.2222222222222222,0.4444444444444444,0.5769642
standard,978,9,0.54973423,0.2222222222222222,0.4444444444444444,0.5769642
standard,978,9,0.64052707,0.2222222222222222,0.4444444444444444,0.6722542
standard,377,10,0.8981599,0.5,0.5,0.92106295
standard,377,10,0.8981599,0.5,0.5,0.92106295
standard,377,10,0.8981599,0.5,0.5,0.92106295
standard,10,9,0.8797441,0.5555555555555556,0.5555555555555556,0.90079635
standard,10,9,0.81057775,0.4444444444444444,0.4444444444444444,0.82997483
standard,10,9,0.8742144,0.5555555555555556,0.5555555555555556,0.8951343
standard,32,10,0.6796763,0.4,0.4,0.716893
standard,32,10,0.8760462,0.4,0.5,0.92401546
standard,32,11,0.97197944,0.45454545454545453,0.5454545454545454,0.99577165
shap_guided,460,6,0.6803297,0.5,0.8333333333333334,0.811999
shap_guided,460,6,0.6803297,0.5,0.8333333333333334,0.811999
shap_guided,460,6,0.6803297,0.5,0.8333333333333334,0.811999
shap_guided,438,6,0.48687595,0.8333333333333334,0.8333333333333334,0.5885669
shap_guided,438,6,0.48687595,0.8333333333333334,0.8333333333333334,0.5885669
shap_guided,438,6,0.7735227,0.8333333333333334,0.8333333333333334,0.93508387
shap_guided,372,6,0.47842908,0.8333333333333334,0.8333333333333334,0.568679
shap_guided,372,6,0.47842908,0.8333333333333334,0.8333333333333334,0.568679
shap_guided,372,6,0.47842908,0.8333333333333334,0.8333333333333334,0.568679
shap_guided,141,6,0.8841348,0.8333333333333334,0.8333333333333334,0.96594924
shap_guided,141,6,0.8841348,0.8333333333333334,0.8333333333333334,0.96594924
shap_guided,141,6,0.8841348,0.8333333333333334,0.8333333333333334,0.96594924
shap_guided,437,6,0.6222393,0.6666666666666666,0.8333333333333334,0.74823654
shap_guided,437,6,0.6222393,0.6666666666666666,0.8333333333333334,0.74823654
shap_guided,437,6,0.6222393,0.6666666666666666,0.8333333333333334,0.74823654
shap_guided,163,5,0.55780184,0.8,0.8,0.7334549
shap_guided,163,7,0.83010596,0.8571428571428571,0.8571428571428571,0.94711185
shap_guided,163,7,0.83010596,0.8571428571428571,0.8571428571428571,0.94711185
shap_guided,538,7,0.82023895,0.7142857142857143,0.7142857142857143,0.9066731
shap_guided,538,7,0.82023895,0.7142857142857143,0.7142857142857143,0.9066731
shap_guided,538,7,0.82023895,0.7142857142857143,0.7142857142857143,0.9066731
shap_guided,672,5,0.39395973,0.6,0.8,0.5480979
shap_guided,672,6,0.4734194,0.6666666666666666,0.8333333333333334,0.6101408
shap_guided,672,6,0.7315753,0.6666666666666666,0.8333333333333334,0.94285095
shap_guided,659,6,0.6494756,0.8333333333333334,0.8333333333333334,0.8019809
shap_guided,659,6,0.6494756,0.8333333333333334,0.8333333333333334,0.8019809
shap_guided,659,6,0.4757083,0.8333333333333334,0.8333333333333334,0.5874108
